embedding_layer,transformer_layer_0,transformer_layer_1,transformer_layer_2,transformer_layer_3,transformer_layer_4,transformer_layer_5,transformer_layer_6,transformer_layer_7,transformer_layer_8,transformer_layer_9,transformer_layer_10,transformer_layer_11,FC_layer
7065600,163870720,163870720,163870720,163870720,163870720,163870720,163870720,163870720,163870720,163870720,163870720,163870720,7084032
5606400,122029056,121707520,121707520,121707520,121707520,121707520,121707520,121707520,121707520,121707520,121707520,121707520,5621248
7848960,188538880,188538880,188538880,188538880,188538880,188538880,188538880,188538880,188538880,188538880,188538880,188538880,7869440
5283840,114896896,113930240,113930240,113930240,112970752,112970752,112970752,112970752,112970752,112970752,112970752,112970752,5297664
8386560,205777920,205777920,205777920,205777920,205777920,205777920,205777920,205777920,205777920,205777920,205777920,205777920,8408576
5053440,109132800,109890560,109890560,109890560,109890560,109890560,109890560,109132800,107617280,106859520,106859520,106859520,5066752
7449600,175686656,175686656,175686656,175686656,175686656,175686656,175686656,175686656,176531456,176531456,176249856,176531456,7750656
11534336,293188608,293188608,293188608,293188608,293188608,293188608,293188608,293188608,293188608,293188608,293188608,293188608,10872832
4869120,102423552,102423552,102423552,102423552,102423552,102423552,102423552,102423552,102568960,102341120,102050304,102050304,4881920
6512640,147383296,147383296,147383296,147383296,147383296,147383296,147710976,147710976,147710976,147710976,147710976,147710976,6530048
11534336,295936000,295936000,295936000,295936000,295936000,295936000,295936000,295936000,295936000,295936000,295936000,295936000,10918912
13178880,387611136,387611136,387611136,387611136,387611136,387611136,387611136,387611136,387611136,387611136,387611136,387611136,13213696
11535360,319987712,319987712,319987712,319987712,319987712,319987712,319987712,319987712,319987712,319987712,319987712,319987712,11565568
11534336,313346048,313346048,313346048,313346048,313346048,313346048,313346048,313346048,313346048,313346048,313346048,313346048,11396096
15267840,481494016,481494016,481494016,481494016,481494016,481494016,481494016,481494016,481494016,481494016,481494016,481494016,15307776
9600000,247401472,247401472,247401472,247401472,247401472,247401472,247401472,247401472,247401472,247401472,247401472,247401472,9625088
8755200,218106368,218106368,218106368,218106368,218106368,218106368,218106368,218106368,218106368,218106368,218106368,218106368,8778240
11534336,299059200,299059200,299059200,299059200,299059200,299059200,299059200,299059200,299059200,299522048,299753472,299753472,11026432
