embedding_layer,transformer_layer_0,transformer_layer_1,transformer_layer_2,transformer_layer_3,transformer_layer_4,transformer_layer_5,transformer_layer_6,transformer_layer_7,transformer_layer_8,transformer_layer_9,transformer_layer_10,transformer_layer_11,FC_layer
15011840,177126400,177126400,177126400,177126400,177126400,177126400,177126400,177126400,177126400,177126400,177126400,177126400,19968
11566080,126366720,126366720,126366720,126366720,126366720,126366720,126366720,126366720,126366720,126366720,126366720,126366720,15360
15749120,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,20480
11289600,122550272,122550272,122550272,122550272,122550272,122550272,122550272,122550272,122550272,122550272,122550272,122550272,14848
15749120,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,20480
11136000,120453120,120453120,120453120,120453120,120446464,120446464,120446464,120446464,120446464,120446464,120446464,120446464,14848
14981120,176646656,176646656,176646656,176646656,176646656,176646656,176646656,176646656,176646656,176646656,176646656,176646656,19968
15749120,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,20480
10397696,111333376,111333376,111333376,111333376,111333376,111333376,111333376,111333376,111128576,110821376,110665728,110665728,13824
13873152,159880704,160259584,160259584,160070144,160070144,160259584,160070144,160070144,160070144,160070144,160070144,160070144,18432
15749120,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,20480
15749120,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,20480
15749120,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,20480
15749120,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,20480
15749120,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,20480
15749120,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,20480
15749120,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,20480
15749120,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,20480
15749120,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,20480
15749120,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,20480
11596800,126793216,126793216,126793216,126793216,126793216,126793216,126793216,126793216,126793216,126793216,126793216,126793216,15360
15749120,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,20480
15564800,186581504,186581504,186581504,186581504,186581504,186581504,185844224,185844224,185844224,185844224,185844224,185844224,20480
15749120,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,20480
15749120,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,20480
12653568,131950592,131950592,131950592,131950592,131950592,131950592,131950592,131950592,131950592,131950592,131950592,131950592,15872
15749120,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,20480
15749120,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,20480
15749120,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,188784640,20480
12499968,137113600,138741760,137927680,137927680,137927680,137927680,136299520,136299520,136299520,136299520,136299520,136299520,16384
11658240,128608256,128608256,128608256,128608256,128608256,128608256,128608256,128608256,128608256,128608256,128608256,128608256,15360
12889088,145143296,145143296,145143296,145143296,145143296,145143296,145143296,145940992,145143296,145940992,145143296,145940992,16896
