embedding_layer,transformer_layer_0,transformer_layer_1,transformer_layer_2,transformer_layer_3,transformer_layer_4,transformer_layer_5,transformer_layer_6,transformer_layer_7,transformer_layer_8,transformer_layer_9,transformer_layer_10,transformer_layer_11,FC_layer
16171008,247567360,247567360,247567360,247567360,247567360,247567360,247567360,247567360,247567360,247567360,247567360,247567360,18432
12465152,192119808,191736832,189438976,187907072,187907072,187907072,187907072,187907072,187907072,187907072,187907072,187907072,14848
17737728,282126336,282126336,282126336,282126336,282126336,283232256,283047936,283047936,283047936,283047936,283047936,283047936,20480
11820032,176333312,175305216,175305216,175305216,175305216,175305216,175305216,175305216,175305216,175305216,175305216,175305216,13824
19632640,305608192,305608192,305608192,305608192,305608192,305608192,305608192,305608192,305608192,305870336,306001408,306001408,22016
11053056,172597760,170836480,167313920,166433280,166433280,166433280,166433280,166433280,166433280,166433280,167204864,167204864,13312
16598016,263991296,263991296,263991296,264803328,266427392,267239424,264803328,265481216,265977856,264487936,265481216,265977856,19456
24516096,422867456,422867456,422867456,422867456,422867456,422867456,422867456,422867456,422867456,422867456,422867456,422867456,28160
10647040,160123392,160123392,160123392,160123392,161442304,160453120,162101760,160453120,162101760,160453120,162101760,159745536,12800
14278144,224447488,224447488,224447488,224447488,224447488,224447488,224447488,224447488,224447488,224447488,224447488,224447488,16896
24571904,424588800,424588800,424588800,424588800,424588800,424588800,424588800,424588800,424588800,424588800,424588800,424588800,28672
28933120,545112576,545112576,545112576,545112576,545112576,545112576,545112576,545112576,545112576,545112576,545112576,545112576,34304
25346048,457393664,457393664,457631232,457631232,457571840,457453056,457393664,457393664,457393664,457393664,457393664,457393664,30208
25143296,448821760,448821760,450411008,450411008,450013696,449219072,448821760,448821760,448821760,448821760,448821760,448821760,29696
33529856,664681984,664681984,664681984,664681984,664681984,664681984,664681984,664681984,664681984,667631104,668614144,668614144,39936
21108736,361531392,361531392,361531392,361531392,361531392,361531392,361531392,361531392,361531392,361531392,361531392,361531392,25088
20001280,322167808,322413568,322413568,322413568,322413568,322413568,322331648,322085888,322085888,322085888,322085888,322085888,23040
24700928,429996032,429996032,429996032,429996032,429996032,429996032,429996032,429996032,429996032,429996032,429996032,429996032,28672
27682304,513955840,513955840,513955840,513955840,513971200,513986560,514017280,514032640,514032640,514001920,513955840,513955840,32768
20293632,336321536,336321536,336321536,336321536,336321536,336321536,336321536,336321536,336321536,336321536,336321536,336321536,23552
12004352,180022272,179178496,179178496,179178496,179178496,179178496,179178496,179178496,179178496,179178496,178883584,178883584,14336
27986432,521400832,521400832,521400832,521400832,521400832,521400832,521400832,521400832,521400832,521400832,521400832,521400832,33280
16306176,256500736,256500736,256500736,256500736,256500736,256500736,256500736,257352704,258204672,252240896,252240896,252240896,18944
34611200,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,693191168,40960
16598016,263991296,263991296,263991296,264803328,266427392,267239424,264803328,265481216,265977856,264487936,265481216,265977856,19456
12495872,192387072,192034816,189921280,188512256,188512256,188512256,188512256,188512256,188512256,188512256,188512256,188512256,14848
27310592,504911360,504911360,504911360,504911360,505771520,506631680,508352000,509212160,509212160,507491840,504911360,504911360,32768
18321920,294312960,294312960,294312960,294312960,294312960,294312960,294312960,294312960,294312960,294312960,294312960,294312960,21504
22255104,389174272,386716672,386716672,386716672,386716672,385897472,389993472,385897472,385897472,385897472,385897472,385897472,26624
13172224,201952768,201952768,201952768,201952768,201952768,201952768,201952768,201952768,201952768,201952768,201952768,201952768,15872
11881472,178422272,177455616,177455616,177455616,177455616,177455616,177455616,177455616,177455616,177455616,176496128,176496128,13824
13387264,206277120,206277120,206277120,206277120,206277120,206277120,206277120,206277120,206277120,206277120,206277120,206277120,15872
27141632,500819968,500819968,500819968,500819968,500819968,500819968,500819968,500819968,500819968,500819968,500819968,500819968,32256
22470144,393549824,391737344,391737344,391737344,391737344,391133184,394153984,391133184,391133184,391133184,391133184,391133184,26624
8517632,123706368,123706368,123706368,123792384,123792384,123706368,123706368,123706368,123706368,123706368,123706368,123706368,10240
11053056,172597760,170836480,167313920,166433280,166433280,166433280,166433280,166433280,166433280,166433280,167204864,167204864,13312
7639040,109813248,110099968,110099968,109669888,109526528,109526528,109922816,109922816,109526528,109526528,109526528,109526528,9216
21825024,375497216,377289216,375497216,377289216,375497216,376393216,376393216,376393216,376393216,376393216,376393216,376393216,26112
13417984,206897152,206897152,206897152,206897152,206897152,206897152,206897152,206897152,206897152,206897152,206897152,206897152,15872
22777344,401083392,402419712,403162112,403162112,403162112,402122752,401528832,400044032,404498432,400044032,404498432,400044032,27136
15894528,242292736,242855936,242011136,242574336,242574336,241729536,241729536,241729536,241729536,241729536,241729536,241729536,18432
11881472,178422272,177455616,177455616,177455616,177455616,177455616,177455616,177455616,177455616,177455616,176496128,176496128,13824
11255808,173554688,172530688,170482688,169970688,169970688,169970688,169970688,169970688,169970688,169970688,170738688,173042688,13824
26567168,486995968,486995968,486995968,486995968,486995968,486995968,486995968,486995968,486995968,486995968,486995968,486995968,31744
12465152,192119808,191736832,189438976,187907072,187907072,187907072,187907072,187907072,187907072,187907072,187907072,187907072,14848
17399808,278291456,278291456,278291456,278412288,274353152,274473984,273990656,274111488,273990656,273990656,273990656,273990656,19968
16797696,277566464,277566464,277566464,277779456,273290240,273503232,272651264,272864256,272651264,272651264,272651264,272651264,19968
6151680,87415296,86274560,86979072,88388096,88388096,87683584,86274560,86274560,86979072,86274560,86274560,86274560,7680
19463680,301776384,300162560,297741824,297741824,297741824,297741824,297741824,297741824,297741824,297741824,297741824,297741824,21504
12096512,181430784,180679168,180679168,180679168,180679168,180679168,180679168,180679168,180679168,180679168,180679168,180679168,14336
30758400,591019520,591019520,591019520,591019520,591019520,591019520,591019520,591019520,591019520,591019520,591019520,591019520,36864
24774656,433098752,436133888,437145600,437145600,434110464,433098752,433098752,433098752,433098752,433098752,433098752,433098752,29184
29304832,554107392,554107392,554107392,554107392,554107392,554107392,554107392,554107392,554107392,554107392,554107392,554107392,34816
7436288,107694080,109086720,109086720,106997760,106301440,107149312,107149312,107149312,106301440,106301440,106301440,106301440,9216
16521216,261419008,261419008,261419008,261419008,263503872,265588736,262453248,263487488,265555968,262453248,263487488,265555968,19456
17584128,280477696,280477696,280477696,280477696,278020096,278020096,278020096,278020096,278020096,278020096,279003136,280969216,20480
17676288,281577472,281577472,281577472,281577472,280041472,280041472,280041472,280041472,280041472,280041472,280655872,281884672,20480
8078336,117097984,116576768,118661632,120746496,121713152,117543424,117543424,117543424,117543424,117543424,117543424,117543424,9728
