batch_size,input_length,embedding_layer,block_0_ln_1,block_0_attn,block_0_ln_2,block_0_mlp,block_1_ln_1,block_1_attn,block_1_ln_2,block_1_mlp,block_2_ln_1,block_2_attn,block_2_ln_2,block_2_mlp,block_3_ln_1,block_3_attn,block_3_ln_2,block_3_mlp,block_4_ln_1,block_4_attn,block_4_ln_2,block_4_mlp,block_5_ln_1,block_5_attn,block_5_ln_2,block_5_mlp,block_6_ln_1,block_6_attn,block_6_ln_2,block_6_mlp,block_7_ln_1,block_7_attn,block_7_ln_2,block_7_mlp,block_8_ln_1,block_8_attn,block_8_ln_2,block_8_mlp,block_9_ln_1,block_9_attn,block_9_ln_2,block_9_mlp,block_10_ln_1,block_10_attn,block_10_ln_2,block_10_mlp,block_11_ln_1,block_11_attn,block_11_ln_2,block_11_mlp,FC_layer
3,321,6902784,3266560,38825472,2966528,65872896,2966528,38872064,2966528,65872896,2966528,38872064,2966528,65872896,2966528,39135232,2966528,65872896,2966528,38608896,2966528,65123328,2966528,38872064,2966528,65872896,2966528,38872064,2966528,65872896,2966528,39135232,2966528,65872896,2966528,38608896,2966528,65123328,2966528,38872064,2966528,65872896,2966528,38872064,2966528,65872896,2966528,39135232,2966528,65872896,2966528
3,458,11103744,4232192,64184320,4232192,88639488,4232192,64184320,4232192,88639488,4232192,64184320,4232192,88639488,4232192,64184320,4232192,88639488,4232192,64184320,4232192,88639488,4232192,64184320,4232192,88639488,4232192,64184320,4232192,88639488,4232192,64184320,4232192,88639488,4232192,64184320,4232192,88639488,4232192,64184320,4232192,88639488,4232192,64184320,4232192,88639488,4232192,64184320,4232192,88639488,4232192
3,363,9426432,4097024,49583104,4097024,70277120,3378176,47506432,4097024,70303744,3404800,47506432,4097024,70303744,3404800,47506432,4097024,70303744,3404800,47506432,4097024,70303744,3404800,47612928,3354624,70253568,4253696,47669248,3354624,71152640,4253696,48568320,3354624,70253568,3354624,46770176,3354624,70253568,3354624,45871104,3354624,70253568,3354624,45871104,3354624,70253568,3354624,45871104,3354624,70253568,3354624
3,228,5731328,2552832,26575872,2552832,44571648,2552832,26575872,2552832,44571648,2552832,25479168,2107392,44126208,2107392,24348672,2107392,44126208,2107392,24348672,2107392,44144640,2125824,24348672,3001856,44199936,3001856,25243136,2107392,44347392,2181120,26137600,2107392,45266432,2107392,24348672,2107392,44347392,2107392,24422400,2107392,44273664,2107392,25415168,3100160,44273664,2107392,25415168,2107392,44126208,3100160
3,509,11071488,4703232,77452288,5357568,99062784,4703232,77452288,5357568,99062784,4703232,77452288,5357568,99062784,4703232,77452288,5357568,99062784,4703232,77452288,5357568,99062784,4703232,76750848,5310464,99062784,4703232,77965312,4703232,99670016,4703232,77358080,4703232,99062784,4703232,76750848,5310464,99062784,4703232,77965312,4703232,99117056,4703232,76750848,4703232,98509824,4703232,75536384,4703232,98509824,4703232
3,303,6515712,2800640,35653120,2800640,58641408,2800640,35653120,2800640,58641408,2800640,35653120,2800640,58641408,2800640,36417024,2800640,58641408,2800640,36417024,2800640,58641408,2800640,36417024,2800640,58663936,2800640,36484608,2823168,58641408,2800640,35720704,2800640,58663936,2823168,35720704,2800640,58663936,2823168,35675648,2800640,58641408,2800640,35653120,2800640,58641408,2800640,35653120,2800640,58641408,2800640
3,342,7368704,3161088,42522112,3161088,66189312,3161088,43214336,3161088,66535424,3161088,43214336,3161088,66189312,3161088,42868224,3507200,66189312,3161088,42868224,3161088,67207168,3161088,43193856,3161088,67207168,4178944,42176000,3161088,66189312,3161088,42176000,3161088,66189312,3161088,42176000,3161088,66189312,3161088,42176000,3161088,66189312,3161088,42176000,3161088,66189312,3161088,42176000,3161088,66189312,3161088
3,544,12843008,5026816,84438528,5473280,109871104,5026816,83019264,5026816,109871104,5026816,83019264,5026816,109871104,5026816,83019264,5026816,109871104,5026816,83019264,5026816,109871104,5026816,83019264,5026816,109871104,5026816,83019264,5026816,107118592,5026816,83019264,5026816,105283584,5026816,83019264,5026816,105283584,5026816,83019264,5026816,105283584,5026816,83019264,5026816,105283584,5026816,83019264,5026816,105283584,5026816
3,343,7575552,3170304,43101696,3170304,66382848,3170304,43101696,3170304,66382848,3170304,43101696,3170304,66382848,3170304,43101696,3170304,66382848,3170304,42348544,3170304,66382848,3170304,42348544,3170304,67354624,4142080,44292096,3170304,67354624,3170304,46235648,3170304,67354624,4142080,43320320,3170304,66382848,3170304,42348544,3170304,66382848,3170304,42348544,3170304,66382848,3170304,42348544,3170304,66382848,3170304
3,251,6692864,3075072,31770112,3075072,52598784,3075072,32375296,3075072,53203968,3075072,32442880,3105792,49363968,3093504,31574528,3105792,49363968,3105792,32265728,3336192,49594368,3336192,32726528,3336192,49594368,3336192,32726528,2319360,49594368,3336192,31709696,2319360,49594368,3336192,31709696,2319360,49594368,3336192,30260736,2319360,49594368,3336192,31277568,2319360,48946176,3336192,28775936,2319360,49314816,2319360
